Date,Open,High,Low,Close
01-OCT-21,43816.7421875,48436.01171875,43320.0234375,48116.94140625
02-OCT-21,48137.46875,48282.0625,47465.49609375,47711.48828125
03-OCT-21,47680.02734375,49130.69140625,47157.2890625,48199.953125
04-OCT-21,48208.90625,49456.77734375,47045.00390625,49112.90234375
05-OCT-21,49174.9609375,51839.984375,49072.83984375,51514.8125
06-OCT-21,51486.6640625,55568.46484375,50488.19140625,55361.44921875
07-OCT-21,55338.625,55338.625,53525.46875,53805.984375
08-OCT-21,53802.14453125,55922.98046875,53688.0546875,53967.84765625
09-OCT-21,53929.78125,55397.9453125,53735.14453125,54968.22265625
10-OCT-21,54952.8203125,56401.3046875,54264.2578125,54771.578125
11-OCT-21,54734.125,57793.0390625,54519.765625,57484.7890625
12-OCT-21,57526.83203125,57627.87890625,54477.97265625,56041.05859375
13-OCT-21,56038.2578125,57688.66015625,54370.97265625,57401.09765625
14-OCT-21,57372.83203125,58478.734375,56957.07421875,57321.5234375
15-OCT-21,57345.90234375,62757.12890625,56868.14453125,61593.94921875
16-OCT-21,61609.52734375,62274.4765625,60206.12109375,60892.1796875
17-OCT-21,60887.65234375,61645.5234375,59164.46875,61553.6171875
18-OCT-21,61548.8046875,62614.66015625,60012.7578125,62026.078125
19-OCT-21,62043.1640625,64434.53515625,61622.93359375,64261.9921875
20-OCT-21,64284.5859375,66930.390625,63610.67578125,65992.8359375
21-OCT-21,66002.234375,66600.546875,62117.41015625,62210.171875
22-OCT-21,62237.890625,63715.0234375,60122.796875,60692.265625
23-OCT-21,60694.62890625,61743.87890625,59826.5234375,61393.6171875
24-OCT-21,61368.34375,61505.8046875,59643.34375,60930.8359375
25-OCT-21,60893.92578125,63729.32421875,60691.80078125,63039.82421875
26-OCT-21,63032.76171875,63229.02734375,59991.16015625,60363.79296875
27-OCT-21,60352.0,61435.18359375,58208.1875,58482.38671875
28-OCT-21,58470.73046875,62128.6328125,58206.91796875,60622.13671875
29-OCT-21,60624.87109375,62927.609375,60329.96484375,62227.96484375
30-OCT-21,62239.36328125,62330.14453125,60918.38671875,61888.83203125
31-OCT-21,61850.48828125,62406.171875,60074.328125,61318.95703125
01-NOV-21,61320.44921875,62419.00390625,59695.18359375,61004.40625
02-NOV-21,60963.25390625,64242.79296875,60673.0546875,63226.40234375
03-NOV-21,63254.3359375,63516.9375,61184.23828125,62970.046875
04-NOV-21,62941.8046875,63123.2890625,60799.6640625,61452.23046875
05-NOV-21,61460.078125,62541.46875,60844.609375,61125.67578125
06-NOV-21,61068.875,61590.68359375,60163.78125,61527.48046875
07-NOV-21,61554.921875,63326.98828125,61432.48828125,63326.98828125
08-NOV-21,63344.06640625,67673.7421875,63344.06640625,67566.828125
09-NOV-21,67549.734375,68530.3359375,66382.0625,66971.828125
10-NOV-21,66953.3359375,68789.625,63208.11328125,64995.23046875
11-NOV-21,64978.890625,65579.015625,64180.48828125,64949.9609375
12-NOV-21,64863.98046875,65460.81640625,62333.9140625,64155.94140625
13-NOV-21,64158.12109375,64915.67578125,63303.734375,64469.52734375
14-NOV-21,64455.37109375,65495.1796875,63647.80859375,65466.83984375
15-NOV-21,65521.2890625,66281.5703125,63548.14453125,63557.87109375
16-NOV-21,63721.1953125,63721.1953125,59016.3359375,60161.24609375
17-NOV-21,60139.62109375,60823.609375,58515.41015625,60368.01171875
18-NOV-21,60360.13671875,60948.5,56550.79296875,56942.13671875
19-NOV-21,56896.12890625,58351.11328125,55705.1796875,58119.578125
20-NOV-21,58115.08203125,59859.87890625,57469.7265625,59697.1953125
21-NOV-21,59730.5078125,60004.42578125,58618.9296875,58730.4765625
22-NOV-21,58706.84765625,59266.359375,55679.83984375,56289.2890625
23-NOV-21,56304.5546875,57875.515625,55632.76171875,57569.07421875
24-NOV-21,57565.8515625,57803.06640625,55964.22265625,56280.42578125
25-NOV-21,57165.41796875,59367.96875,57146.68359375,57274.6796875
26-NOV-21,58960.28515625,59183.48046875,53569.765625,53569.765625
27-NOV-21,53736.4296875,55329.2578125,53668.35546875,54815.078125
28-NOV-21,54813.0234375,57393.84375,53576.734375,57248.45703125
29-NOV-21,57291.90625,58872.87890625,56792.52734375,57806.56640625
30-NOV-21,57830.11328125,59113.40234375,56057.28125,57005.42578125
01-DEC-21,56907.96484375,59041.68359375,56553.08203125,57229.828125
