Dates,US Treasure 1Y Maturity
Oct-11-2021,0.1
Oct-12-2021,0.11
Oct-13-2021,0.1
Oct-14-2021,0.12
Oct-17-2021,0.11
Oct-18-2021,0.11
Oct-19-2021,0.1
Oct-20-2021,0.12
Oct-21-2021,0.13
Oct-24-2021,0.14
Oct-25-2021,0.14
Oct-26-2021,0.12
Oct-27-2021,0.15
Oct-28-2021,0.15
Oct-31-2021,0.15
Nov-01-2021,0.15
Nov-02-2021,0.17
Nov-03-2021,0.14
Nov-04-2021,0.14
Nov-07-2021,0.16
Nov-08-2021,0.14
Nov-09-2021,0.17
Nov-11-2021,0.17
Nov-14-2021,0.18
Nov-15-2021,0.17
Nov-16-2021,0.18
Nov-17-2021,0.18
Nov-18-2021,0.18
Nov-21-2021,0.2
Nov-22-2021,0.21
Nov-23-2021,0.24
Nov-25-2021,0.2
Nov-28-2021,0.21
Nov-29-2021,0.24
Nov-30-2021,0.25
Dec-01-2021,0.27
Dec-02-2021,0.26
Dec-05-2021,0.28
Dec-06-2021,0.31
Dec-07-2021,0.29
Dec-08-2021,0.28
Dec-09-2021,0.27
Dec-12-2021,0.27
Dec-13-2021,0.26
Dec-14-2021,0.29
Dec-15-2021,0.26
Dec-16-2021,0.27
Dec-19-2021,0.27
Dec-20-2021,0.29
Dec-21-2021,0.28
Dec-22-2021,0.31
Dec-26-2021,0.33
Dec-27-2021,0.39
Dec-28-2021,0.38
Dec-29-2021,0.38
Dec-30-2021,0.39
Jan-02-2022,0.4
Jan-03-2022,0.38
Jan-04-2022,0.41
Jan-05-2022,0.45
Jan-06-2022,0.43
Jan-09-2022,0.46
Jan-10-2022,0.46
Jan-11-2022,0.48
Jan-12-2022,0.47
Jan-13-2022,0.51
Jan-17-2022,0.58
Jan-18-2022,0.57
Jan-19-2022,0.6
Jan-20-2022,0.58
Jan-23-2022,0.58
Jan-24-2022,0.65
Jan-25-2022,0.7
Jan-26-2022,0.75
Jan-27-2022,0.75
Jan-30-2022,0.78
Jan-31-2022,0.78
Feb-01-2022,0.76
Feb-02-2022,0.78
Feb-03-2022,0.89
Feb-06-2022,0.88
Feb-07-2022,0.91
Feb-08-2022,0.91
Feb-09-2022,1.14
Feb-10-2022,1.07
Feb-13-2022,1.13
Feb-14-2022,1.11
Feb-15-2022,1.09
Feb-16-2022,1.05
Feb-17-2022,1.03
Feb-21-2022,1.17
Feb-22-2022,1.16
Feb-23-2022,1.08
Feb-24-2022,1.13
Feb-27-2022,1.01
Feb-28-2022,0.91
Mar-01-2022,1.06
Mar-02-2022,1.08
Mar-03-2022,1.05
Mar-06-2022,1.07
Mar-07-2022,1.12
Mar-08-2022,1.15
Mar-09-2022,1.19
Mar-10-2022,1.22
Mar-13-2022,1.28
Mar-14-2022,1.28
Mar-15-2022,1.35
Mar-16-2022,1.3
Mar-17-2022,1.29
Mar-20-2022,1.4
Mar-21-2022,1.59
Mar-22-2022,1.52
Mar-23-2022,1.55
Mar-24-2022,1.67
Mar-27-2022,1.69
Mar-28-2022,1.67
Mar-29-2022,1.64
Mar-30-2022,1.63
Mar-31-2022,1.72
Apr-03-2022,1.72
Apr-04-2022,1.77
Apr-05-2022,1.79
Apr-06-2022,1.78
Apr-07-2022,1.81
Apr-10-2022,1.85
Apr-11-2022,1.77
Apr-12-2022,1.78
Apr-13-2022,1.84
Apr-17-2022,1.84
Apr-18-2022,1.94
Apr-19-2022,1.93
Apr-20-2022,2.01
Apr-21-2022,2.06
Apr-24-2022,2.03
Apr-25-2022,1.99
Apr-26-2022,1.97
Apr-27-2022,2.04
Apr-28-2022,2.1
May-01-2022,2.1
May-02-2022,2.16
May-03-2022,2.07
May-04-2022,2.08
May-05-2022,2.08
May-08-2022,1.99
May-09-2022,2.01
May-10-2022,1.99
May-11-2022,1.96
May-12-2022,2.04
May-15-2022,2.07
May-16-2022,2.16
May-17-2022,2.16
May-18-2022,2.11
May-19-2022,2.07
May-22-2022,2.09
May-23-2022,2.02
May-24-2022,2.01
May-25-2022,1.99
May-26-2022,2.01
May-30-2022,2.08
May-31-2022,2.16
Jun-01-2022,2.15
Jun-02-2022,2.18
Jun-05-2022,2.23
Jun-06-2022,2.26
Jun-07-2022,2.29
Jun-08-2022,2.35
Jun-09-2022,2.58
Jun-12-2022,2.89
Jun-13-2022,3.15
