Dates,US Treasure 1Y Maturity
Jun-14-2022,2.93
Jun-15-2022,2.88
Jun-16-2022,2.86
Jun-20-2022,2.92
Jun-21-2022,2.79
Jun-22-2022,2.78
Jun-23-2022,2.83
Jun-26-2022,2.89
Jun-27-2022,2.88
Jun-28-2022,2.88
Jun-29-2022,2.8
Jun-30-2022,2.79
Jul-04-2022,2.77
Jul-05-2022,2.82
Jul-06-2022,2.87
Jul-07-2022,2.96
Jul-10-2022,2.97
Jul-11-2022,3.07
Jul-12-2022,3.21
Jul-13-2022,3.16
Jul-14-2022,3.12
Jul-17-2022,3.13
Jul-18-2022,3.18
Jul-19-2022,3.18
Jul-20-2022,3.11
Jul-21-2022,3.01
Jul-24-2022,3.07
Jul-25-2022,3.06
Jul-26-2022,3
Jul-27-2022,2.93
Jul-28-2022,2.98
Jul-31-2022,2.98
Aug-01-2022,3.09
Aug-02-2022,3.14
Aug-03-2022,3.11
Aug-04-2022,3.29
Aug-07-2022,3.3
Aug-08-2022,3.33
Aug-09-2022,3.26
Aug-10-2022,3.25
Aug-11-2022,3.26
Aug-14-2022,3.23
Aug-15-2022,3.26
Aug-16-2022,3.27
Aug-17-2022,3.24
Aug-18-2022,3.26
Aug-21-2022,3.32
Aug-22-2022,3.29
Aug-23-2022,3.35
Aug-24-2022,3.33
Aug-25-2022,3.36
Aug-28-2022,3.43
Aug-29-2022,3.48
Aug-30-2022,3.5
Aug-31-2022,3.51
Sep-01-2022,3.47
Sep-05-2022,3.61
Sep-06-2022,3.6
Sep-07-2022,3.6
Sep-08-2022,3.67
Sep-11-2022,3.7
Sep-12-2022,3.92
Sep-13-2022,3.95
Sep-14-2022,4
Sep-15-2022,3.96
Sep-18-2022,4.05
Sep-19-2022,4.03
Sep-20-2022,4.08
Sep-21-2022,4.08
Sep-22-2022,4.15
Sep-25-2022,4.17
Sep-26-2022,4.16
Sep-27-2022,3.99
Sep-28-2022,3.98
Sep-29-2022,4.05
Oct-02-2022,4.01
Oct-03-2022,4.15
Oct-04-2022,4.14
Oct-05-2022,4.19
Oct-06-2022,4.24
Oct-10-2022,4.28
Oct-11-2022,4.28
Oct-12-2022,4.46
Oct-13-2022,4.5
Oct-16-2022,4.5
Oct-17-2022,4.5
Oct-18-2022,4.6
Oct-19-2022,4.66
Oct-20-2022,4.58
Oct-23-2022,4.61
Oct-24-2022,4.6
Oct-25-2022,4.54
Oct-26-2022,4.5
Oct-27-2022,4.55
Oct-30-2022,4.66
Oct-31-2022,4.75
Nov-01-2022,4.76
Nov-02-2022,4.78
Nov-03-2022,4.76
Nov-06-2022,4.8
Nov-07-2022,4.77
Nov-08-2022,4.75
Nov-09-2022,4.59
Nov-13-2022,4.63
Nov-14-2022,4.6
Nov-15-2022,4.62
Nov-16-2022,4.68
Nov-17-2022,4.74
Nov-20-2022,4.75
Nov-21-2022,4.79
Nov-22-2022,4.75
Nov-24-2022,4.76
Nov-27-2022,4.76
Nov-28-2022,4.78
Nov-29-2022,4.74
Nov-30-2022,4.66
Dec-01-2022,4.69
Dec-04-2022,4.77
Dec-05-2022,4.73
Dec-06-2022,4.67
Dec-07-2022,4.71
Dec-08-2022,4.72
Dec-11-2022,4.75
Dec-12-2022,4.64
Dec-13-2022,4.64
Dec-14-2022,4.65
Dec-15-2022,4.61
Dec-18-2022,4.64
Dec-19-2022,4.64
Dec-20-2022,4.6
Dec-21-2022,4.64
Dec-22-2022,4.66
Dec-26-2022,4.75
Dec-27-2022,4.71
Dec-28-2022,4.71
Dec-29-2022,4.73
Jan-02-2023,4.72
Jan-03-2023,4.71
Jan-04-2023,4.78
Jan-05-2023,4.71
Jan-08-2023,4.69
Jan-09-2023,4.74
Jan-10-2023,4.73
Jan-11-2023,4.66
Jan-12-2023,4.69
Jan-16-2023,4.67
Jan-17-2023,4.63
Jan-18-2023,4.65
Jan-19-2023,4.68
Jan-22-2023,4.7
Jan-23-2023,4.7
Jan-24-2023,4.67
Jan-25-2023,4.68
Jan-26-2023,4.68
Jan-29-2023,4.71
Jan-30-2023,4.68
Jan-31-2023,4.66
Feb-01-2023,4.64
Feb-02-2023,4.79
Feb-05-2023,4.85
Feb-06-2023,4.88
Feb-07-2023,4.87
Feb-08-2023,4.88
Feb-09-2023,4.89
Feb-12-2023,4.91
Feb-13-2023,4.99
Feb-14-2023,4.96
Feb-15-2023,4.99
Feb-16-2023,5
Feb-20-2023,5.07
Feb-21-2023,5.07
Feb-22-2023,5.03
Feb-23-2023,5.05
Feb-26-2023,5.03
Feb-27-2023,5.02
Feb-28-2023,5.06
Mar-01-2023,5.04
Mar-02-2023,5.03
Mar-05-2023,5.05
Mar-06-2023,5.22
Mar-07-2023,5.25
Mar-08-2023,5.18
Mar-09-2023,4.9
Mar-12-2023,4.3
Mar-13-2023,4.45
Mar-14-2023,4.19
Mar-15-2023,4.49
Mar-16-2023,4.26
Mar-19-2023,4.34
Mar-20-2023,4.68
Mar-21-2023,4.56
Mar-22-2023,4.38
Mar-23-2023,4.32
Mar-26-2023,4.51
Mar-27-2023,4.55
Mar-28-2023,4.59
Mar-29-2023,4.63
Mar-30-2023,4.64
Apr-02-2023,4.6
