date,total_posts,positive,negative,neutral,sentiment
2022-01-20,1503,479,185,840,0.06338514431515535
2022-01-21,2358,710,316,1333,0.058864015777541565
2022-01-22,2105,561,252,1292,0.04548966038439134
2022-01-23,1308,394,196,719,0.05485520443820042
2022-01-24,2016,616,241,1161,0.056444749195202704
2022-01-25,1498,507,160,832,0.06477968571237819
2022-01-26,1627,563,169,895,0.07450483896971027
2022-01-27,1281,433,177,672,0.06418693428666336
2022-01-28,1309,462,122,727,0.08131935464353914
2022-01-29,1070,355,117,598,0.07010304117765734
2022-01-30,286,91,31,164,0.07350729252859935
2022-01-31,1261,402,153,706,0.06334006002574503
2022-02-01,1566,523,165,879,0.07825171817815006
2022-02-02,1304,437,163,704,0.06598873536447485
2022-02-03,1144,423,135,586,0.08102603386208868
2022-02-04,1766,499,183,1084,0.05721864431301365
2022-02-05,1459,467,159,834,0.0731208821057989
2022-02-06,1164,381,99,687,0.08333768184606526
2022-02-07,1931,613,190,1128,0.0657336418371764
2022-02-08,1586,528,185,873,0.06325774453418331
2022-02-09,1697,620,180,898,0.07481250519807173
2022-02-10,1563,503,160,900,0.06844413346761935
2022-02-11,1254,411,152,691,0.069800047993301
2022-02-12,960,340,114,506,0.08089767443570574
2022-02-13,999,341,114,544,0.06745265304127737
2022-02-14,1291,455,134,703,0.07839543133123282
2022-02-15,1639,564,188,888,0.07269190429333432
2022-02-16,1389,460,163,766,0.07128454548234163
2022-02-17,1618,460,209,950,0.054743808117303464
2022-02-18,1369,434,149,786,0.06690506659648793
2022-02-19,1048,350,119,579,0.07331938927192908
2022-02-20,1162,382,136,645,0.06546021468605073
2022-02-21,1346,426,139,781,0.0669551488343898
2022-02-22,1387,468,153,768,0.07080245415233304
2022-02-23,1267,427,159,681,0.06984343758073225
2022-02-24,154,60,19,76,0.07081918348077307
2022-02-25,1360,424,181,756,0.05606178488523895
2022-02-26,993,279,114,601,0.05425737519452937
2022-02-27,952,272,120,560,0.05278583824888597
2022-02-28,2031,610,207,1214,0.061729004216796717
2022-03-01,1785,558,183,1045,0.06412820806415082
2022-03-02,1244,384,123,737,0.06573385975766151
2022-03-03,1225,364,136,725,0.06135556388235051
2022-03-04,1164,331,119,715,0.054347821058697246
2022-03-05,867,280,80,508,0.08149600936469353
2022-03-06,866,275,96,495,0.07183922446101286
2022-03-07,1200,370,174,656,0.05129499314744541
2022-03-08,1129,412,140,577,0.07003898538528024
2022-03-09,1644,500,150,994,0.06758774129229465
2022-03-10,1324,407,152,766,0.06218136615142098
2022-03-11,1151,353,151,647,0.06845659472204615
2022-03-12,993,323,108,563,0.07644817528197945
2022-03-13,976,270,118,588,0.05965326488856042
2022-03-14,1415,444,126,845,0.08042907724315947
2022-03-15,1139,363,113,663,0.06787970193248849
2022-03-16,1363,378,143,843,0.05908797131690179
2022-03-17,929,319,90,521,0.08119522238975964
2022-03-18,1095,396,107,592,0.08109153686628803
2022-03-19,955,331,94,530,0.08212767543874033
2022-03-20,846,265,88,497,0.06685686045843527
2022-03-21,1069,372,111,586,0.07408093467145861
2022-03-22,1320,458,128,734,0.077067732104368
2022-03-23,1182,405,115,663,0.07415700083582982
2022-03-24,1580,473,139,968,0.06065755978322378
2022-03-25,1581,492,142,949,0.07125859661590668
2022-03-26,997,290,98,609,0.06420950711792554
2022-03-27,981,306,93,582,0.0652889298663101
2022-03-28,1766,531,162,1073,0.06460938803755331
2022-03-29,1640,587,200,853,0.07254912928254882
2022-03-30,1345,443,132,771,0.07881738051980902
2022-03-31,1324,436,137,752,0.07509480656260979
2022-04-01,944,296,97,551,0.07516196296460985
2022-04-02,416,131,41,244,0.07011785521245971
2022-04-03,1036,309,97,631,0.07303442513368984
2022-04-04,1120,362,99,659,0.08050644413748188
2022-04-05,1413,474,146,793,0.0847189972080622
2022-04-06,1547,486,140,921,0.07963119684212809
2022-04-07,1862,654,173,1035,0.08504579374123211
2022-04-08,1676,579,149,948,0.09129206155796885
2022-04-09,1174,425,136,613,0.09052218676069712
2022-04-10,1132,391,126,615,0.0805420031453837
2022-04-11,1633,513,191,930,0.07170337160611698
2022-04-12,1389,458,151,781,0.07368599581406046
2022-04-13,1274,399,136,740,0.075727783382044
2022-04-14,398,140,38,220,0.07954806885256006
2022-04-15,963,332,100,531,0.07879761433993929
2022-04-16,832,257,98,478,0.06412489135393386
2022-04-17,898,274,89,535,0.08133647353948917
2022-04-18,1318,421,151,748,0.07004533233508815
2022-04-19,1186,422,134,630,0.07956825830685245
2022-04-20,1233,399,135,699,0.07300228915398924
2022-04-21,1290,418,150,722,0.06708157459880146
2022-04-22,1172,356,138,678,0.06512453104445959
2022-04-23,866,287,86,493,0.08093107757367438
